step,reward,avg_speed,cav_count,hdv_count
404,0.234051,0.946038,25,16
405,0.237251,0.958038,25,16
406,0.240451,0.970038,25,16
407,0.243651,0.982038,25,16
408,0.246851,0.994038,25,16
409,0.250051,1.006038,25,16
410,0.253251,1.018038,25,16
411,0.253251,1.018038,25,16
412,0.253251,1.018038,25,16
413,0.253251,1.018038,25,16
414,0.253251,1.018038,25,16
415,0.253251,1.018038,25,16
416,0.253251,1.018038,25,16
417,0.253251,1.018038,25,16
418,0.253251,1.018038,25,16
419,0.253251,1.018038,25,16
420,0.253251,1.018038,25,16
421,0.253251,1.018038,25,16
422,0.253251,1.018038,25,16
423,0.253251,1.018038,25,16
424,0.253251,1.018038,25,16
425,0.253251,1.018038,25,16
426,0.253251,1.018038,25,16
427,0.253251,1.018038,25,16
428,0.253251,1.018038,25,16
429,0.253251,1.018038,25,16
430,0.253251,1.018038,25,16
431,0.253251,1.018038,25,16
432,0.253251,1.018038,25,16
433,0.253251,1.018038,25,16
434,0.253251,1.018038,25,16
435,0.253251,1.018038,25,16
436,0.253251,1.018038,25,16
437,0.253251,1.018038,25,16
438,0.253251,1.018038,25,16
439,0.253251,1.018038,25,16
440,0.253251,1.018038,25,16
441,0.253251,1.018038,25,16
442,0.253251,1.018038,25,16
443,0.253251,1.018038,25,16
444,0.253251,1.018038,25,16
445,0.253251,1.018038,25,16
446,0.253251,1.018038,25,16
447,0.253251,1.018038,25,16
448,0.253251,1.018038,25,16
449,0.253251,1.018038,25,16
450,0.253251,1.018038,25,16
451,0.253251,1.018038,25,16
452,0.253251,1.018038,25,16
453,0.253251,1.018038,25,16
454,0.253251,1.018038,25,16
455,0.253251,1.018038,25,16
456,0.253251,1.018038,25,16
457,0.253251,1.018038,25,16
458,0.253251,1.018038,25,16
459,0.253251,1.018038,25,16
460,0.253251,1.018038,25,16
461,0.253251,1.018038,25,16
462,0.253251,1.018038,25,16
463,0.253251,1.018038,25,16
464,0.253251,1.018038,25,16
465,0.253251,1.018038,25,16
466,0.253251,1.018038,25,16
467,0.208244,1.018038,25,16
468,0.210819,1.030038,25,16
469,0.213394,1.042038,25,16
470,0.215969,1.054038,25,16
471,0.218544,1.066038,25,16
472,0.221119,1.078038,25,16
473,0.223694,1.090038,25,16
474,0.226269,1.102038,25,16
475,0.202686,0.837285,24,16
476,0.205915,0.849785,24,16
477,0.209144,0.862285,24,16
478,0.212374,0.874785,24,16
479,0.215603,0.887285,24,16
480,0.218832,0.899785,24,16
481,0.222061,0.912285,24,16
482,0.225290,0.924785,24,16
483,0.228519,0.937285,24,16
484,0.231749,0.949785,24,16
485,0.234978,0.962285,24,16
486,0.238207,0.974785,24,16
487,0.241436,0.987285,24,16
488,0.244665,0.999785,24,16
489,0.247894,1.012285,24,16
490,0.251124,1.024785,24,16
491,0.254353,1.037285,24,16
