approx_kl,clip_fraction,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,std,value_loss,fps,time_elapsed,total_timesteps,iterations
0,0,0,0,0.00098884864,0,0,0,0,0,0,0,11264,0
0,0,0,0,0.0009887219200000001,0,0,0,0,0,0,0,11392,0
0,0,0,0,0.0009885952,0,0,0,0,0,0,0,11520,0
0,0,0,0,0.00098846848,0,0,0,0,0,0,0,11648,0
0,0,0,0,0.00098834176,0,0,0,0,0,0,0,11776,0
0,0,0,0,0.00098821504,0,0,0,0,0,0,0,11904,0
0,0,0,0,0.00098808832,0,0,0,0,0,0,0,12032,0
0,0,0,0,0.0009879616,0,0,0,0,0,0,0,12160,0
0,0,0,0,0.00098783488,0,0,0,0,0,0,0,12288,0
0,0,0,0,0.0009877081600000001,0,0,0,0,0,0,0,12416,0
0,0,0,0,0.00098758144,0,0,0,0,0,0,0,12544,0
0,0,0,0,0.00098745472,0,0,0,0,0,0,0,12672,0
0,0,0,0,0.000987328,0,0,0,0,0,0,0,12800,0
0,0,0,0,0.00098720128,0,0,0,0,0,0,0,12928,0
0,0,0,0,0.00098707456,0,0,0,0,0,0,0,13056,0
0,0,0,0,0.00098694784,0,0,0,0,0,0,0,13184,0
0,0,0,0,0.00098682112,0,0,0,0,0,0,0,13312,0
0,0,0,0,0.0009866944000000001,0,0,0,0,0,0,0,13440,0
0,0,0,0,0.00098656768,0,0,0,0,0,0,0,13568,0
0,0,0,0,0.00098644096,0,0,0,0,0,0,0,13696,0
0,0,0,0,0.00098631424,0,0,0,0,0,0,0,13824,0
0,0,0,0,0.00098618752,0,0,0,0,0,0,0,13952,0
0,0,0,0,0.0009860608,0,0,0,0,0,0,0,14080,0
0,0,0,0,0.00098593408,0,0,0,0,0,0,0,14208,0
0,0,0,0,0.0009858073599999999,0,0,0,0,0,0,0,14336,0
0,0,0,0,0.0009856806399999999,0,0,0,0,0,0,0,14464,0
0,0,0,0,0.00098555392,0,0,0,0,0,0,0,14592,0
0,0,0,0,0.0009854272,0,0,0,0,0,0,0,14720,0
0,0,0,0,0.00098530048,0,0,0,0,0,0,0,14848,0
0,0,0,0,0.00098517376,0,0,0,0,0,0,0,14976,0
0,0,0,0,0.00098504704,0,0,0,0,0,0,0,15104,0
