window,step,throughput,cumulative_throughput
482,48200,6,341
483,48300,6,347
484,48400,4,351
485,48500,1,352
486,48600,3,355
487,48700,6,361
488,48800,4,365
489,48900,4,369
490,49000,3,372
491,49100,4,376
492,49200,4,380
493,49300,6,386
494,49400,6,392
495,49500,8,400
496,49600,4,404
497,49700,3,407
498,49800,2,409
499,49900,6,415
500,50000,8,423
501,50100,6,429
502,50200,0,429
503,50300,7,436
504,50400,6,442
505,50500,4,446
506,50600,2,448
507,50700,1,449
508,50800,5,454
509,50900,5,459
510,51000,6,465
511,51100,8,473
512,51200,7,480
513,51300,4,484
514,51400,5,489
515,51500,6,495
516,51600,5,500
517,51700,8,508
518,51800,5,513
519,51900,4,517
520,52000,7,524
521,52100,4,528
522,52200,7,535
523,52300,5,540
524,52400,9,549
525,52500,7,556
526,52600,3,559
527,52700,6,565
528,52800,4,569
529,52900,6,575
530,53000,6,581
531,53100,6,587
532,53200,6,593
533,53300,4,597
534,53400,5,602
535,53500,4,606
536,53600,6,612
537,53700,7,619
538,53800,6,625
539,53900,3,628
540,54000,5,633
541,54100,8,641
542,54200,5,646
543,54300,2,648
544,54400,9,657
545,54500,6,663
546,54600,2,665
547,54700,2,667
548,54800,8,675
549,54900,5,680
550,55000,7,687
551,55100,6,693
552,55200,6,699
553,55300,1,700
554,55400,5,705
555,55500,5,710
556,55600,7,717
557,55700,6,723
558,55800,4,727
559,55900,3,730
560,56000,4,734
561,56100,8,742
562,56200,7,749
563,56300,6,755
564,56400,5,760
565,56500,3,763
566,56600,0,763
567,56700,5,768
568,56800,8,776
569,56900,4,780
570,57000,4,784
571,57100,6,790
572,57200,4,794
573,57300,8,802
574,57400,4,806
575,57500,3,809
576,57600,7,816
577,57700,3,819
578,57800,7,826
579,57900,4,830
580,58000,5,835
581,58100,9,844
582,58200,4,848
583,58300,8,856
584,58400,3,859
585,58500,1,860
586,58600,4,864
587,58700,8,872
588,58800,7,879
589,58900,2,881
590,59000,7,888
591,59100,6,894
592,59200,7,901
593,59300,5,906
594,59400,5,911
595,59500,4,915
596,59600,3,918
597,59700,2,920
598,59800,2,922
599,59900,5,927
600,60000,5,932
601,60100,4,936
602,60200,7,943
603,60300,5,948
604,60400,6,954
605,60500,5,959
606,60600,3,962
607,60700,3,965
608,60800,3,968
609,60900,3,971
610,61000,0,971
611,61100,7,978
612,61200,5,983
613,61300,3,986
614,61400,3,989
615,61500,2,991
616,61600,2,993
617,61700,8,1001
618,61800,4,1005
619,61900,4,1009
620,62000,4,1013
621,62100,1,1014
622,62200,3,1017
623,62300,3,1020
624,62400,2,1022
625,62500,6,1028
626,62600,4,1032
627,62700,4,1036
628,62800,7,1043
629,62900,3,1046
630,63000,5,1051
631,63100,7,1058
632,63200,1,1059
633,63300,3,1062
634,63400,6,1068
635,63500,1,1069
636,63600,6,1075
637,63700,1,1076
638,63800,3,1079
639,63900,5,1084
640,64000,2,1086
641,64100,3,1089
642,64200,5,1094
643,64300,6,1100
644,64400,3,1103
645,64500,5,1108
646,64600,3,1111
647,64700,5,1116
648,64800,4,1120
649,64900,5,1125
650,65000,6,1131
651,65100,3,1134
652,65200,5,1139
653,65300,5,1144
654,65400,6,1150
655,65500,5,1155
656,65600,4,1159
657,65700,6,1165
658,65800,2,1167
659,65900,4,1171
660,66000,2,1173
661,66100,2,1175
662,66200,0,1175
663,66300,6,1181
664,66400,4,1185
665,66500,7,1192
666,66600,5,1197
667,66700,6,1203
668,66800,3,1206
669,66900,4,1210
670,67000,6,1216
671,67100,6,1222
672,67200,8,1230
673,67300,5,1235
674,67400,4,1239
675,67500,5,1244
676,67600,3,1247
677,67700,5,1252
678,67800,5,1257
679,67900,1,1258
680,68000,3,1261
681,68100,2,1263
682,68200,5,1268
683,68300,5,1273
684,68400,6,1279
685,68500,3,1282
686,68600,7,1289
687,68700,6,1295
688,68800,5,1300
689,68900,7,1307
690,69000,4,1311
691,69100,1,1312
692,69200,7,1319
693,69300,3,1322
694,69400,5,1327
695,69500,8,1335
696,69600,4,1339
697,69700,3,1342
698,69800,6,1348
699,69900,6,1354
700,70000,6,1360
701,70100,1,1361
702,70200,2,1363
703,70300,3,1366
704,70400,5,1371
705,70500,7,1378
706,70600,5,1383
707,70700,7,1390
708,70800,5,1395
709,70900,6,1401
710,71000,5,1406
711,71100,8,1414
712,71200,4,1418
713,71300,3,1421
714,71400,5,1426
715,71500,2,1428
716,71600,8,1436
717,71700,4,1440
718,71800,3,1443
719,71900,8,1451
720,72000,4,1455
721,72100,5,1460
722,72200,6,1466
723,72300,6,1472
724,72400,4,1476
725,72500,6,1482
726,72600,4,1486
727,72700,3,1489
728,72800,4,1493
729,72900,6,1499
730,73000,5,1504
731,73100,5,1509
732,73200,5,1514
733,73300,6,1520
734,73400,5,1525
735,73500,3,1528
736,73600,5,1533
737,73700,3,1536
738,73800,6,1542
739,73900,4,1546
740,74000,2,1548
741,74100,8,1556
742,74200,5,1561
743,74300,2,1563
744,74400,2,1565
745,74500,3,1568
746,74600,5,1573
747,74700,6,1579
748,74800,2,1581
749,74900,4,1585
750,75000,5,1590
751,75100,5,1595
752,75200,7,1602
753,75300,4,1606
754,75400,2,1608
755,75500,6,1614
756,75600,5,1619
757,75700,5,1624
758,75800,4,1628
759,75900,6,1634
760,76000,3,1637
761,76100,3,1640
762,76200,2,1642
763,76300,5,1647
764,76400,7,1654
765,76500,5,1659
766,76600,5,1664
767,76700,4,1668
768,76800,5,1673
769,76900,6,1679
770,77000,6,1685
771,77100,7,1692
772,77200,7,1699
773,77300,3,1702
774,77400,3,1705
775,77500,7,1712
776,77600,4,1716
777,77700,5,1721
778,77800,5,1726
779,77900,6,1732
780,78000,5,1737
781,78100,5,1742
782,78200,6,1748
783,78300,4,1752
784,78400,7,1759
785,78500,3,1762
786,78600,3,1765
787,78700,4,1769
788,78800,6,1775
789,78900,5,1780
790,79000,4,1784
791,79100,6,1790
792,79200,6,1796
793,79300,4,1800
794,79400,5,1805
795,79500,7,1812
796,79600,4,1816
797,79700,5,1821
798,79800,5,1826
799,79900,2,1828
800,80000,3,1831
801,80100,4,1835
802,80200,7,1842
803,80300,6,1848
804,80400,4,1852
805,80500,6,1858
806,80600,3,1861
807,80700,4,1865
808,80800,3,1868
809,80900,3,1871
810,81000,3,1874
811,81100,4,1878
812,81200,5,1883
813,81300,2,1885
814,81400,2,1887
815,81500,3,1890
816,81600,5,1895
817,81700,4,1899
818,81800,5,1904
819,81900,6,1910
820,82000,2,1912
821,82100,4,1916
822,82200,5,1921
823,82300,8,1929
824,82400,6,1935
825,82500,3,1938
826,82600,6,1944
827,82700,1,1945
828,82800,6,1951
829,82900,2,1953
830,83000,7,1960
831,83100,4,1964
832,83200,5,1969
833,83300,7,1976
834,83400,4,1980
835,83500,6,1986
836,83600,6,1992
837,83700,6,1998
838,83800,7,2005
839,83900,1,2006
840,84000,8,2014
841,84100,7,2021
842,84200,5,2026
843,84300,5,2031
844,84400,4,2035
845,84500,3,2038
846,84600,5,2043
847,84700,3,2046
848,84800,0,2046
849,84900,5,2051
850,85000,5,2056
851,85100,3,2059
852,85200,5,2064
853,85300,6,2070
854,85400,5,2075
855,85500,5,2080
856,85600,3,2083
857,85700,4,2087
858,85800,5,2092
859,85900,2,2094
860,86000,4,4
861,86100,5,9
862,86200,2,11
863,86300,6,17
864,86400,2,19
865,86500,0,19
866,86600,2,21
867,86700,6,27
868,86800,3,30
